,shhh.. Just listEn :)_A Rocket to the Moon
1040,fast
1041,would've
1042,skimmed
1043,clean
1044,adam
1045,strides
1046,quickly
1047,car
1048,adam
1049,see
1050,bill
1051,old
1052,bill
1053,right
1054,ext
1055,maitland's
1056,car
1057,day
1058,maitlands
1059,drive
1060,car
1061,town
1062,jane
1063,ext
1064,car
1065,day
1066,car
1067,approaches
1068,int
1069,car
1070,day
1071,five
1072,brushes
1073,sit
1074,seat
1075,next
1076,adam
1077,cradles
1078,small
1079,replica
1080,bozman
1081,building
1082,complete
1083,brass
1084,lion
1085,barbara
1086,beauty
1087,adam
1088,yeah
1089,turned
1090,okay
1091,applied
1092,historical
1093,plaque
1094,third
1095,one
1096,main
1097,street
1098,barbara
1099,jokingly
1100,historical
1101,landmarks
1102,town
1103,going
1104,put
1105,condominiums
1106,adam
1107,grinning
1108,slow
1109,honey
1110,want
1111,vibration
1112,weaken
1113,model
1114,barbara
1115,nervous
1116,oh
1117,i'm
1118,sorry
1119,barbara
1120,starts
1121,apply
1122,brakes
1123,dog
1124,waddles
1125,road
1126,stops
1127,pee
1128,barbara
1129,swerves
1130,car
1131,hits
1132,rickety
1133,speed
1134,bit
1135,much
1136,boards
1137,rattle
1138,loosen
1139,car
1140,skews
1141,catches
1142,open
1143,slot
1144,careens
1145,right
1146,left
1147,int
1148,car
1149,day
1150,piling
1151,smashed
1152,window
1153,pas
1154,senger
1155,side
1156,crushing
1157,upper
1158,part
1159,barbara's
1160,arm
1161,wailing
1162,pain
1163,fright
1164,adam
1165,tries
1166,help
1167,barbara
1168,tries
1169,get
1170,car
1171,none
1172,succeeds
1173,ext
1174,river
1175,day
1176,dog
1177,finishes
1178,looks
1179,car
1180,walks
1181,across
1182,steps
1183,one
1184,board
1185,holds
1186,car
1187,aloft
1188,car
1189,rocks
1190,back
1191,forth
1192,moment
1193,slides
1194,forward
1195,toward
1196,water
1197,ext
1198,car
1199,car
1200,plunges
1201,rushing
1202,water
1203,floats
1204,moment
