,Song Name,Artist,Words count,Year,Bin
59,Breakeven,The Script,227,2008,2000s
60,A Message,Coldplay,107,2005,2000s
61,Thank You,Dido,135,2000,2000s
62,Let Me Love You,Mario,362,2004,2000s
63,Apologize,OneRepublic,127,2006,2000s
64,Far Away,Nickelback,216,2006,2000s
65,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,Panic! at the Disco,297,2006,2000s
66,A Rush of Blood to the Head,Coldplay,218,2002,2000s
67,Apologize,Timbaland,122,2007,2000s
68,Nothing Better,The Postal Service,184,2003,2000s
69,Your Body Is a Wonderland,John Mayer,176,2002,2000s
70,Goodbye My Lover,James Blunt,252,2005,2000s
71,Falling Away With You,Muse,130,2003,2000s
72,Marching Bands of Manhattan,Death Cab for Cutie,100,2005,2000s
73,Re: Stacks,Bon Iver,112,2007,2000s
74,You Found Me,The Fray,179,2008,2000s
75,The Man Who Can't Be Moved,The Script,302,2008,2000s
76,The Only Exception,Paramore,138,2009,2000s
77,Replay,Iyaz,348,2009,2000s
78,Crown of Love,Arcade Fire,167,2004,2000s
79,To Be Alone With You,Sufjan Stevens,60,2004,2000s
80,If I Ever Feel Better,Phoenix,397,2000,2000s
81,With You,Chris Brown,405,2007,2000s
82,Forever,Chris Brown,327,2008,2000s
83,Meet Me Halfway,Black Eyed Peas,296,2009,2000s
84,A Thousand Miles,Vanessa Carlton,200,2002,2000s
85,Stop Crying Your Heart Out,Oasis,129,2002,2000s
86,Swallowed in the Sea,Coldplay,175,2005,2000s
87,A Lack of Color,Death Cab for Cutie,92,2003,2000s
88,Your Heart Is an Empty Room,Death Cab for Cutie,94,2005,2000s
89,9 Crimes,Damien Rice,176,2006,2000s
90,Wish You Were Here,Incubus,101,2001,2000s
91,Blood Bank,Bon Iver,128,2009,2000s
92,The Blower's Daughter,Damien Rice,173,2002,2000s
93,No One's Gonna Love You,Band of Horses,119,2007,2000s
94,Ocean Avenue,Yellowcard,165,2004,2000s
95,Always,blink-182,166,2004,2000s
96,"Flightless Bird, American Mouth",Iron & Wine,89,2007,2000s
97,Take a Bow,Rihanna,174,2008,2000s
98,You Belong with Me,Taylor Swift,248,2008,2000s
99,Need You Now,Lady Antebellum,195,2009,2000s
100,Transatlanticism,Death Cab for Cutie,131,2003,2000s
101,Endlessly,Muse,87,2003,2000s
102,The Ghost of You,My Chemical Romance,167,2004,2000s
103,My Love,Justin Timberlake,532,2006,2000s
104,Clark Gable,The Postal Service,140,2003,2000s
105,You Could Be Happy,Snow Patrol,82,2006,2000s
106,Someday You Will Be Loved,Death Cab for Cutie,136,2005,2000s
107,Everything Will Be Alright,The Killers,119,2004,2000s
108,Brand New Colony,The Postal Service,127,2003,2000s
109,Knock You Down,Keri Hilson,545,2009,2000s
110,Lips Of An Angel,Hinder,203,2006,2000s
111,You Give Me Something,James Morrison,170,2006,2000s
112,What Sarah Said,Death Cab for Cutie,113,2005,2000s
113,I Don't Love You,My Chemical Romance,131,2006,2000s
114,Creature Fear,Bon Iver,73,2007,2000s
115,Do You Realize??,The Flaming Lips,101,2002,2000s
116,Dilemma,Nelly,566,2002,2000s
117,We Will Become Silhouettes,The Postal Service,112,2005,2000s
118,Brothers on a Hotel Bed,Death Cab for Cutie,100,2005,2000s
119,Dakota,Stereophonics,195,2005,2000s
120,When You're Gone,Avril Lavigne,192,2007,2000s
121,Slow Dancing in a Burning Room,John Mayer,156,2006,2000s
122,Unintended,Muse,85,2000,2000s
123,Love Hurts,Incubus,159,2006,2000s
124,Set the Fire to the Third Bar,Snow Patrol,138,2006,2000s
125,If I Ain't Got You,Alicia Keys,158,2004,2000s
126,But It's Better If You Do,Panic! at the Disco,217,2006,2000s
127,Delicate,Damien Rice,98,2002,2000s
128,All the Right Moves,OneRepublic,270,2009,2000s
129,You and Me,Lifehouse,123,2005,2000s
130,You're All I Have,Snow Patrol,159,2006,2000s
131,I'm with You,Avril Lavigne,167,2002,2000s
132,5 Years Time,Noah and the Whale,193,2008,2000s
133,Do You Remember,Jack Johnson,134,2005,2000s
134,Rehab,Rihanna,433,2008,2000s
135,Playground Love,Air,57,2000,2000s
136,Thinking of You,Katy Perry,190,2008,2000s
137,Look After You,The Fray,165,2005,2000s
138,Better in Time,Leona Lewis,236,2008,2000s
139,Hanging by a Moment,Lifehouse,160,2000,2000s
140,Little Bit,Lykke Li,212,2007,2000s
141,Won't Go Home Without You,Maroon 5,204,2007,2000s
142,To Build a Home,The Cinematic Orchestra,85,2007,2000s
143,Daydreamer,Adele,111,2008,2000s
144,I Will Possess Your Heart,Death Cab for Cutie,201,2008,2000s
145,I'd Rather Dance With You,Kings of Convenience,98,2004,2000s
146,We Belong Together,Mariah Carey,302,2005,2000s
147,Can't Help But Wait,Trey Songz,285,2007,2000s
148,Volcano,Damien Rice,278,2002,2000s
149,Roulette,System of a Down,146,2002,2000s
150,Us,Regina Spektor,124,2004,2000s
151,When It Rains,Paramore,169,2007,2000s
152,Bedshaped,Keane,109,2004,2000s
153,Stickwitu,The Pussycat Dolls,328,2005,2000s
154,Sea of Love,Cat Power,48,2000,2000s
155,Hear You Me,Jimmy Eat World,160,2001,2000s
156,Dig,Incubus,139,2006,2000s
157,Accidentally in Love,Counting Crows,201,2004,2000s
158,Daughters,John Mayer,137,2004,2000s
159,Lua,Bright Eyes,167,2004,2000s
160,Collide,Howie Day,119,2004,2000s
161,Love Today,Mika,164,2007,2000s
162,Look What You've Done,Jet,126,2003,2000s
163,So Sorry,Feist,86,2007,2000s
164,"Build God, Then We'll Talk",Panic! at the Disco,197,2007,2000s
165,We Might as Well Be Strangers,Keane,75,2004,2000s
166,Amber,311,119,2001,2000s
167,The Sharpest Lives,My Chemical Romance,203,2006,2000s
168,High,James Blunt,114,2004,2000s
169,Time to Dance,Panic! at the Disco,190,2005,2000s
170,"Jesus, Etc.",Wilco,155,2002,2000s
171,Tiny Vessels,Death Cab for Cutie,147,2003,2000s
172,Feel,Robbie Williams,166,2002,2000s
173,Please Don't Leave Me,P!nk,216,2008,2000s
174,Never Say Never,The Fray,132,2009,2000s
175,Home,Michael Bublé,178,2005,2000s
176,Million Faces,Paolo Nutini,187,2006,2000s
177,Lost Without U,Robin Thicke,271,2007,2000s
178,Now at Last,Feist,45,2004,2000s
179,Trophy,Bat for Lashes,169,2006,2000s
180,No Air,Jordin Sparks,418,2008,2000s
181,It's Not Up to You,Björk,115,2001,2000s
182,Together We Will Live Forever,Clint Mansell,1,2006,2000s
183,Beating Heart Baby,Head Automatica,263,2004,2000s
184,Cautioners,Jimmy Eat World,107,2001,2000s
185,Bruised,Jack's Mannequin,243,2005,2000s
186,Night Terror,Laura Marling,112,2007,2000s
187,The Closest Thing to Crazy,Katie Melua,97,2003,2000s
188,Photobooth,Death Cab for Cutie,154,2000,2000s
189,Elephant,Damien Rice,147,2006,2000s
190,Unsolved Mysteries,Animal Collective,131,2007,2000s
191,Katherine Kiss Me,Franz Ferdinand,127,2009,2000s
192,The Engine Driver,The Decemberists,163,2005,2000s
193,Cater 2 U,Destiny's Child,498,2004,2000s
194,Hamburg Song,Keane,125,2006,2000s
195,First Time,Lifehouse,181,2007,2000s
196,The Animals Were Gone,Damien Rice,168,2006,2000s
197,I Melt with You,Nouvelle Vague,124,2004,2000s
198,Blue Skies,Noah and the Whale,81,2009,2000s
199,Measuring Cups,Andrew Bird,133,2005,2000s
200,The Good Stuff,Kenny Chesney,224,2002,2000s
201,Poor Places,Wilco,187,2002,2000s
202,The Finish Line,Snow Patrol,88,2006,2000s
203,Summer Love,Justin Timberlake,417,2006,2000s
204,Not About Love,Fiona Apple,179,2005,2000s
205,I Summon You,Spoon,101,2005,2000s
206,Faded From the Winter,Iron & Wine,32,2002,2000s
207,Love Dog,TV on the Radio,95,2008,2000s
208,Candy,Paolo Nutini,256,2009,2000s
209,Laura,Girls,134,2009,2000s
210,Be Still My Heart,The Postal Service,102,2005,2000s
211,Eskimo,Damien Rice,114,2002,2000s
212,L.O.V.E.,Ashlee Simpson,212,2005,2000s
213,In God's Hands,Nelly Furtado,123,2007,2000s
214,All We Are,OneRepublic,176,2007,2000s
215,Crawl,Chris Brown,171,2009,2000s
216,One Line,PJ Harvey,85,2000,2000s
217,Not Falling Apart,Maroon 5,175,2007,2000s
218,Love Song For No One,John Mayer,128,2001,2000s
219,Love Like a Sunset Part II,Phoenix,18,2009,2000s
220,Miserable at Best,Mayday Parade,297,2007,2000s
221,You Have Killed Me,Morrissey,117,2006,2000s
222,Passive Aggressive,Placebo,146,2000,2000s
223,Shelter,Ray LaMontagne,137,2004,2000s
224,It's True That We Love One Another,The White Stripes,256,2003,2000s
225,"Decatur, or, Round of Applause for Your Stepmother!",Sufjan Stevens,118,2005,2000s
226,I Am In Love With You,Imogen Heap,133,2005,2000s
227,I Wanna Know,Joe,324,2000,2000s
228,Don't Forget,Demi Lovato,110,2008,2000s
229,Ever Fallen in Love,Nouvelle Vague,192,2006,2000s
230,The Calculation,Regina Spektor,120,2009,2000s
231,All My Loving,Jim Sturgess,103,2007,2000s
232,Reservations,Wilco,73,2002,2000s
233,The Gulag Orkestar,Beirut,35,2006,2000s
234,She's A Lady,Forever the Sickest Kids,201,2008,2000s
235,Breathe,Michelle Branch,163,2003,2000s
236,Honey and the Moon,Joseph Arthur,200,2002,2000s
237,Forever Young,Youth Group,148,2006,2000s
238,The Magic Position,Patrick Wolf,133,2007,2000s
239,One Sweet Love,Sara Bareilles,185,2004,2000s
240,Bless the Broken Road,Rascal Flatts,156,2004,2000s
241,In Those Jeans,Ginuwine,296,2003,2000s
242,Pictures Of You,The Last Goodnight,150,2007,2000s
243,Hate Me,Blue October,376,2006,2000s
244,Ave Maria,Beyoncé,107,2008,2000s
245,Sowing Season (Yeah),Brand New,165,2006,2000s
246,Good Woman,Cat Power,69,2003,2000s
247,Dress Up in You,Belle and Sebastian,196,2006,2000s
248,Light Up the Sky,Yellowcard,205,2007,2000s
249,Death on the Stairs,The Libertines,221,2002,2000s
250,(Another Song) All Over Again,Justin Timberlake,151,2006,2000s
251,The Way I Loved You,Taylor Swift,225,2008,2000s
252,Good Love,Bat for Lashes,131,2009,2000s
253,Tonight,Lykke Li,340,2008,2000s
254,A Song for the Lovers,Richard Ashcroft,158,2000,2000s
255,The Gift,Angels & Airwaves,178,2006,2000s
256,Last Night on Earth,Green Day,109,2009,2000s
257,Believe,Yellowcard,203,2003,2000s
258,Existentialism On Prom Night,Straylight Run,125,2004,2000s
259,Loch Raven,Animal Collective,303,2005,2000s
260,Checkmarks,The Academy Is...,213,2005,2000s
261,Back at Your Door,Maroon 5,224,2007,2000s
262,Make You Smile,+44,209,2006,2000s
263,City Love,John Mayer,149,2001,2000s
264,Supergirl,Reamonn,133,2000,2000s
265,Ode to Divorce,Regina Spektor,168,2004,2000s
266,Provider,N*E*R*D,223,2008,2000s
267,bird stealing bread,Iron & Wine,102,2002,2000s
268,Unison,Björk,125,2001,2000s
269,Daughters of the Soho Riots,The National,158,2005,2000s
270,Honestly,Cartel,163,2006,2000s
271,I Wanna,The All-American Rejects,263,2009,2000s
272,Running,No Doubt,145,2001,2000s
273,Broken,Seether (feat. Amy Lee),160,2004,2000s
274,The Call,Regina Spektor,95,2008,2000s
275,Perfectly Lonely,John Mayer,165,2009,2000s
276,Run,Leona Lewis,134,2008,2000s
277,The Trapeze Swinger,Iron & Wine,252,2009,2000s
278,Eyes,Rogue Wave,87,2006,2000s
279,Our Way to Fall,Yo La Tengo,131,2000,2000s
280,Whatever It Takes,Lifehouse,165,2007,2000s
281,Soco Amaretto Lime,Brand New,272,2001,2000s
282,Hate,Cat Power,118,2006,2000s
283,Until the End of Time,Justin Timberlake,246,2006,2000s
284,As Lovers Go,Dashboard Confessional,185,2003,2000s
285,Over,Lindsay Lohan,173,2004,2000s
286,Mr. E's Beautiful Blues,Eels,149,2000,2000s
287,"Wow, I Can Get Sexual Too",Say Anything,225,2005,2000s
288,Mix Tape,Brand New,128,2001,2000s
289,Bury Your Head,Saosin,170,2006,2000s
290,If You're Not the One,Daniel Bedingfield,221,2002,2000s
291,Here's To The Night,EVE 6,135,2001,2000s
292,Accidental Babies,Damien Rice,171,2006,2000s
293,Fools,The Temper Trap,105,2009,2000s
294,I've Got Friends,Manchester Orchestra,206,2009,2000s
295,Let Me Kiss You,Morrissey,91,2004,2000s
296,Coney Island,Death Cab for Cutie,40,2001,2000s
297,In Love with a Girl,Gavin DeGraw,256,2008,2000s
298,Be Without You,Mary J. Blige,355,2005,2000s
299,I Woke Up In A Car,Something Corporate,234,2002,2000s
300,Come Back to Bed,John Mayer,147,2003,2000s
301,Take Me Anywhere,Tegan and Sara,164,2004,2000s
302,Punk Rock Princess,Something Corporate,206,2002,2000s
303,My Superman,Santigold,61,2008,2000s
304,Shape of My Heart,Backstreet Boys,190,2000,2000s
305,The Bird and The Worm,Owl City,172,2009,2000s
306,Keep You Much Longer,Akon,472,2008,2000s
307,Paper Shoes,Incubus,121,2006,2000s
308,She Says,Howie Day,194,2005,2000s
309,Kill the Messenger,Jack's Mannequin,189,2005,2000s
310,I'm a Lady (feat. Trouble Andrew),Santigold,117,2008,2000s
311,Secret Valentine,We the Kings,148,2007,2000s
312,Who Needs Love?,Razorlight,122,2006,2000s
313,Midnight Bottle,Colbie Caillat,173,2007,2000s
314,Skeptics And True Believers,The Academy Is...,208,2005,2000s
315,Information Travels Faster,Death Cab for Cutie,80,2001,2000s
316,Jezebel,Iron & Wine,110,2005,2000s
317,Cubism Dream,Local Natives,117,2009,2000s
318,There's A Class For This,Cute Is What We Aim For,189,2006,2000s
319,I'm Yours,The Script,151,2008,2000s
320,You and I,Wilco,117,2009,2000s
321,I Have Friends in Holy Spaces,Panic! at the Disco,115,2008,2000s
322,Glorious,Muse,61,2007,2000s
323,Recess,Muse,65,2000,2000s
324,The Moon,Cat Power,71,2006,2000s
325,After Tonight,Justin Nozuka,191,2008,2000s
326,Tim McGraw,Taylor Swift,249,2006,2000s
327,City,Sara Bareilles,124,2007,2000s
328,Yoshimi Battles the Pink Robots Pt. 1,The Flaming Lips,133,2002,2000s
329,Winters Love,Animal Collective,67,2004,2000s
330,Gotta Have You,The Weepies,143,2006,2000s
331,Mirrorball,Elbow,119,2008,2000s
332,The Last Song,The All-American Rejects,222,2003,2000s
333,Cry Me Out,Pixie Lott,172,2009,2000s
334,Again I Go Unnoticed,Dashboard Confessional,138,2000,2000s
335,Terrible Angels,CocoRosie,173,2004,2000s
336,Should've Said No,Taylor Swift,202,2006,2000s
337,Bright Lights,Matchbox Twenty,191,2003,2000s
338,Cigarettes And Chocolate Milk,Rufus Wainwright,159,2001,2000s
339,You Really Got a Hold on Me,She & Him,124,2008,2000s
340,When The Stars Go Blue,Ryan Adams,90,2001,2000s
341,Loving You,Paolo Nutini,221,2006,2000s
342,The Blue Channel,Taking Back Sunday,106,2002,2000s
343,Iris,Goo Goo Dolls,144,1998,90s
344,Love Will Tear Us Apart,Joy Division,94,1980,80s
345,Fake Plastic Trees,Radiohead,95,1995,90s
346,Friday I'm in Love,The Cure,148,1992,90s
347,Someone Like You,Adele,220,2011,2010s
348,Don't Speak,No Doubt,209,1996,90s
349,Just Like Heaven,The Cure,134,1987,80s
350,With or Without You,U2,120,1987,80s
351,Hallelujah,Jeff Buckley,170,1994,90s
352,Set Fire to the Rain,Adele,235,2011,2010s
353,I Don't Want to Miss a Thing,Aerosmith,267,1998,90s
354,One,U2,154,1992,90s
355,All You Need Is Love,The Beatles,130,1967,60s
356,Ho Hey,The Lumineers,116,2012,2010s
357,Lovesong,The Cure,123,1989,80s
358,Something,The Beatles,81,1969,60s
359,There Is a Light That Never Goes Out,The Smiths,174,1986,80s
360,Linger,The Cranberries,161,1993,90s
361,Somebody to Love,Queen,336,1976,70s
362,Just the Way You Are,Bruno Mars,194,2010,2010s
363,Your Song,Elton John,150,1970,70s
364,Kiss Me,Sixpence None the Richer,122,1998,90s
365,Lovefool,The Cardigans,226,1996,90s
366,Love Me Do,The Beatles,126,1962,60s
367,Wouldn't It Be Nice,The Beach Boys,101,1966,60s
368,I Want to Hold Your Hand,The Beatles,191,1963,60s
369,Your Love Is My Drug,Ke$ha,296,2010,2010s
370,Can't Buy Me Love,The Beatles,156,1964,60s
371,Thinkin Bout You,Frank Ocean,209,2012,2010s
372,Pictures of You,The Cure,168,1989,80s
373,My Girl,The Temptations,136,1964,60s
374,In the Aeroplane Over the Sea,Neutral Milk Hotel,127,1998,90s
375,Stand By Me,Ben E. King,93,1961,60s
376,Wonderful Tonight,Eric Clapton,102,1977,70s
377,Love The Way You Lie,Eminem,496,2010,2010s
378,She Loves You,The Beatles,212,1963,60s
379,Young and Beautiful,Lana Del Rey,212,2013,2010s
380,Eight Days a Week,The Beatles,202,1964,60s
381,Is This Love,Bob Marley & The Wailers,207,1978,70s
382,Off to the Races,Lana Del Rey,429,2012,2010s
383,God Only Knows,The Beach Boys,145,1966,60s
384,Jar of Hearts,Christina Perri,211,2010,2010s
385,Nothing Compares 2 U,Sinéad O'Connor,151,1990,90s
386,Bridge over Troubled Water,Simon & Garfunkel,82,1970,70s
387,I Will Always Love You,Whitney Houston,106,1992,90s
388,Thinking Out Loud,Ed Sheeran,204,2014,2010s
389,In My Life,The Beatles,104,1965,60s
390,Kiss from a Rose,Seal,256,1994,90s
391,Here with Me,Dido,159,1999,90s
392,Careless Whisper,George Michael,204,1984,80s
393,Skinny Love,Birdy,138,2011,2010s
394,Romeo and Juliet,Dire Straits,267,1980,80s
395,All of Me,John Legend,238,2013,2010s
396,Radio,Lana Del Rey,290,2012,2010s
397,Don't You Remember,Adele,122,2011,2010s
398,Fields of Gold,Sting,136,1993,90s
399,Fade Into You,Mazzy Star,110,1994,90s
400,Pale Blue Eyes,The Velvet Underground,137,1969,60s
401,Jóga,Björk,142,1997,90s
402,Wicked Game,Chris Isaak,171,1990,90s
403,Angels,Robbie Williams,159,1997,90s
404,The One That Got Away,Katy Perry,207,2010,2010s
405,Can't Help Falling in Love,Elvis Presley,72,1961,60s
406,One and Only,Adele,260,2011,2010s
407,Suspicious Minds,Elvis Presley,184,1969,60s
408,Michelle,The Beatles,139,1965,60s
409,Wrecking Ball,Miley Cyrus,246,2013,2010s
410,More Than Words,Extreme,150,1991,90s
411,Lovesong,Adele,157,2011,2010s
412,"Holland, 1945",Neutral Milk Hotel,138,1998,90s
413,When I Was Your Man,Bruno Mars,192,2013,2010s
414,All My Loving,The Beatles,103,1963,60s
415,Golden Slumbers,The Beatles,47,1969,60s
416,Last Goodbye,Jeff Buckley,112,1994,90s
417,Thinking About You,Radiohead,110,1993,90s
418,Girl,The Beatles,192,1965,60s
419,At Last,Etta James,114,1960,60s
420,Colorblind,Counting Crows,67,1999,90s
421,Lay Lady Lay,Bob Dylan,125,1969,60s
422,And I Love Her,The Beatles,72,1964,60s
423,It's Oh So Quiet,Björk,151,1995,90s
424,Crash into Me,Dave Matthews Band,193,1996,90s
425,All Is Full of Love,Björk,69,1999,90s
426,I Would Do Anything for You,Foster the People,205,2011,2010s
427,Purple Rain,Prince,159,1984,80s
428,From Me to You,The Beatles,169,1963,60s
429,Love on Top,Beyoncé,403,2011,2010s
430,Photograph,Ed Sheeran,199,2014,2010s
431,I Want to Know What Love Is,Foreigner,241,1984,80s
432,Always,Bon Jovi,232,1994,90s
433,Shape Of My Heart,Sting,157,1993,90s
434,Treasure,Bruno Mars,199,2013,2010s
435,The Hills,The Weeknd,305,2015,2010s
436,Stubborn Love,The Lumineers,159,2011,2010s
437,Shut Up and Dance,Walk the Moon,242,2014,2010s
438,Animal,Neon Trees,182,2010,2010s
439,Te Amo,Rihanna,253,2010,2010s
440,Heaven,Bryan Adams,158,1985,80s
441,I Want You,Bob Dylan,185,1966,60s
442,Walking After You,Foo Fighters,115,1998,90s
443,"Hold On, We're Going Home",Drake,256,2013,2010s
444,Marry You,Bruno Mars,222,2011,2010s
445,Angeles,Elliott Smith,90,1997,90s
446,Glycerine,Bush,144,1994,90s
447,Lovely Rita,The Beatles,184,1967,60s
448,Ride,Lana Del Rey,196,2012,2010s
449,I Won't Give Up,Jason Mraz,170,2012,2010s
450,No. 1 Party Anthem,Arctic Monkeys,183,2013,2010s
451,Say Yes,Elliott Smith,90,1997,90s
452,Truly Madly Deeply,Savage Garden,197,1997,90s
453,Hotline Bling,Drake,275,2015,2010s
454,Love Me Again,John Newman,157,2013,2010s
455,Push,Matchbox Twenty,201,1996,90s
456,"Here, There and Everywhere",The Beatles,98,1966,60s
457,Without You,Lana Del Rey,232,2012,2010s
458,I Miss You,Incubus,67,1999,90s
459,Head Over Feet,Alanis Morissette,164,1995,90s
460,Never Tear Us Apart,INXS,96,1987,80s
461,Strangers in the Night,Frank Sinatra,88,1966,60s
462,Unchained Melody,The Righteous Brothers,87,1965,60s
463,Got to Get You Into My Life,The Beatles,154,1966,60s
464,I Will,The Beatles,77,1968,60s
465,Waiting In Vain,Bob Marley & The Wailers,275,1977,70s
466,Angel,Sarah McLachlan,133,1998,90s
467,Killing Me Softly with His Song,Fugees,173,2020,2010s
468,It Must Have Been Love,Roxette,115,1990,90s
469,Sorry,Justin Bieber,215,2015,2010s
470,You've Got to Hide Your Love Away,The Beatles,81,1965,60s
471,Love Lost,The Temper Trap,83,2010,2010s
472,I'm Not in Love,10cc,129,1975,70s
473,Best Thing I Never Had,Beyoncé,335,2011,2010s
474,Julia,The Beatles,89,1968,60s
475,Baby,Justin Bieber,318,2010,2010s
476,Only Love,Ben Howard,236,2012,2010s
477,Black Balloon,Goo Goo Dolls,134,1999,90s
478,All I Want,Kodaline,151,2013,2010s
479,Woman,John Lennon,110,1981,80s
480,Hello,Lionel Richie,143,1983,80s
481,Love You To,The Beatles,80,1966,60s
482,My Body,Young the Giant,156,2011,2010s
483,Love Love Love,Of Monsters and Men,143,2012,2010s
484,Is This Love,Whitesnake,148,1987,80s
485,Your Song,Ellie Goulding,110,2010,2010s
486,Lilac Wine,Jeff Buckley,110,1994,90s
487,"Lover, You Should've Come Over",Jeff Buckley,211,1994,90s
488,A Thousand Years,Christina Perri,147,2011,2010s
489,Bed Of Roses,Bon Jovi,243,1993,90s
490,Only in Dreams,Weezer,91,1994,90s
491,The One I Love,R.E.M.,88,1987,80s
492,Without You I'm Nothing,Placebo,107,1998,90s
493,Give Me Love,Ed Sheeran,405,2012,2010s
494,Love Hurts,Nazareth,118,1974,70s
495,Isn't She Lovely,Stevie Wonder,72,1976,70s
496,Eternal Flame,The Bangles,171,1989,80s
497,I'm Looking Through You,The Beatles,126,1965,60s
498,Still into You,Paramore,188,2013,2010s
499,Talk Show Host,Radiohead,57,1996,90s
500,La La Love You,Pixies,114,1989,80s
501,Unravel,Björk,95,1997,90s
502,Possibly Maybe,Björk,171,1996,90s
503,I Could Have Lied,Red Hot Chili Peppers,154,1991,90s
504,Love Street,The Doors,93,1968,60s
505,You Are Not Alone,Michael Jackson,208,1995,90s
506,I'm Sticking With You,The Velvet Underground,98,1985,80s
507,Drunk in Love,Beyoncé,394,2013,2010s
508,Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,421,2012,2010s
509,(Everything I Do) I Do It for You,Bryan Adams,181,1991,90s
510,True Love Waits,Radiohead,49,2016,2010s
511,California King Bed,Rihanna,186,2010,2010s
512,Name,Goo Goo Dolls,125,1995,90s
513,Love You Like a Love Song,Selena Gomez & the Scene,288,2011,2010s
514,When A Man Loves A Woman,Percy Sledge,125,1966,60s
515,True Colors,Cyndi Lauper,167,1986,80s
516,For the First Time,The Script,221,2010,2010s
517,Always Be My Baby,Mariah Carey,277,1995,90s
518,Love Me Harder,Ariana Grande,352,2014,2010s
519,Sweetest Thing,U2,199,1998,90s
520,Can't Fight This Feeling,REO Speedwagon,209,1984,80s
521,As Long as You Love Me,Backstreet Boys,201,1997,90s
522,"Please, Please, Please, Let Me Get What I Want",The Smiths,53,1984,80s
523,So Real,Jeff Buckley,101,1994,90s
524,Forrest Gump,Frank Ocean,135,2012,2010s
525,Yoü and I,Lady Gaga,334,2011,2010s
526,Countdown,Beyoncé,434,2011,2010s
527,Two of Us,The Beatles,135,1970,70s
528,My Heart Will Go On,Céline Dion,106,1997,90s
529,Change The World,Eric Clapton,123,1996,90s
530,Angel,Aerosmith,127,1987,80s
531,I Just Called to Say I Love You,Stevie Wonder,174,1984,80s
532,Faithfully,Journey,111,1983,80s
533,Un-Break My Heart,Toni Braxton,246,1996,90s
534,Bullet Proof...I Wish I Was,Radiohead,46,1995,90s
535,Take My Breath Away,Berlin,140,1986,80s
536,Hero,Mariah Carey,154,1993,90s
537,If You Could Only See,Tonic,232,1997,90s
538,If I Needed Someone,The Beatles,89,1965,60s
539,If I Fell,The Beatles,128,1964,60s
540,The Word,The Beatles,115,1965,60s
