,Brown Skin Lady_Black Star
349,ooooh
350,can't
351,next
352,one
353,like
354,famous
355,like
356,tapes
357,made
358,dj
359,clue
360,tighten
361,game
362,approach
363,yo
364,check
365,nectar
366,bee
367,get
368,close
369,instrumental
370,break
371,talib
372,kweli
373,get
374,many
375,compliments
376,confident
377,used
378,complex
379,gettin
380,complex
381,got
382,willin
383,try
384,looked
385,eye
386,head
387,still
388,sky
389,since
390,walked
391,i'm
392,feelin
393,high
394,got
395,imagination
396,flickerin
397,like
398,hot
399,flames
400,seems
401,make
402,wanna
403,ride
404,coltrane
405,love
406,supreme
407,brown
408,lady
409,creates
410,environments
411,happy
412,brown
413,babies
414,know
415,sounds
416,crazy
417,skin's
418,inspiration
419,cocoa
420,butter
421,provoke
422,brother
423,get
424,know
425,one
426,another
427,discover
428,bring
429,people
430,say
431,true
432,say
433,praise
434,due
435,thank
436,god
437,beauty
438,like
439,mos
440,def
441,talib
442,kweli
443,brown
444,skin
445,lady
446,hey
447,hey
448,yes
449,goin'
450,goes
451,brown
452,skin
453,ladies
454,yo
455,brown
456,skin
457,lady
458,indigenous
459,women
460,planet
461,earth
462,doin
463,givin'
464,birth
465,brown
466,skin
467,ladies
468,first
469,brown
470,skin
471,lady
472,worth
473,feel
474,watchin'
475,mos
476,def
477,talib
478,kweli
479,like
480,way
481,walk
482,walk
483,like
484,like
485,like
486,like
487,way
488,walk
489,like
490,way
491,move
492,dance
493,yes
494,like
495,way
496,move
497,like
498,way
499,walk
500,walk
501,like
502,like
503,like
504,like
505,way
506,walk
507,like
508,way
509,move
510,dance
511,please
512,dance
513,refrain
514,mos
515,def
516,everybody
517,avenue
518,know
519,see
520,say
521,everybody
522,avenue
523,know
524,see
525,say
526,mos
527,def
528,brown
529,skinned
530,lady
531,brown
532,skinned
533,lady
534,brown
535,skinned
536,lady
537,brown
538,skinned
539,lady
540,brown
541,skinned
542,lady
543,brown
544,skinned
545,lady
546,talib
547,kweli
548,baby
549,mean
550,think
551,look
552,good
553,know
554,people
555,put
556,look
557,like
558,dark
559,stocking
560,high
561,heels
562,lipstick
563,alla
564,know
565,without
566,makeup
567,beautiful
568,whatcha
569,need
570,paint
571,next
572,face
573,we're
574,dealin
575,european
576,standard
577,beauty
578,tonight
579,turn
580,tv
581,put
582,magazine
583,away
584,mirror
585,tell
586,see
587,see
588,evidence
589,divine
590,presence
591,women
592,caribbean
593,got
594,golden
595,sun
596,know
597,women
598,continent
599,got
600,nigeria
601,ghana
602,know
603,got
604,tanzania
605,zambia
606,mozambique
607,botswana
608,let
609,speak
610,'bout
611,latinas
612,colombianas
613,cubanas
614,dominicanas
615,tahinians
616,course
617,brooklyn
618,women
619,walk
620,walk
621,bronx
622,women
623,walk
624,walk
625,honies
626,queens
627,walk
628,walk
629,nyc
630,atl
631,la
632,cincinnati
633,bay
634,area
635,got
636,cocoa
637,butter
638,brown
639,skinned
640,ladies
641,thing
642,london
643,paris
644,cocoa
645,butter
646,brown
647,sk
